scenario_id,pH,temperature,salinity,pollutant,is_synthetic,source
SCN0001,6,25,0.0,PET,True,synthetic_evaluation_scenario_generator
SCN0002,6,25,0.0,PUR,True,synthetic_evaluation_scenario_generator
SCN0003,6,25,0.0,PA,True,synthetic_evaluation_scenario_generator
SCN0004,6,25,0.5,PET,True,synthetic_evaluation_scenario_generator
SCN0005,6,25,0.5,PUR,True,synthetic_evaluation_scenario_generator
SCN0006,6,25,0.5,PA,True,synthetic_evaluation_scenario_generator
SCN0007,6,25,1.0,PET,True,synthetic_evaluation_scenario_generator
SCN0008,6,25,1.0,PUR,True,synthetic_evaluation_scenario_generator
SCN0009,6,25,1.0,PA,True,synthetic_evaluation_scenario_generator
SCN0010,6,35,0.0,PET,True,synthetic_evaluation_scenario_generator
SCN0011,6,35,0.0,PUR,True,synthetic_evaluation_scenario_generator
SCN0012,6,35,0.0,PA,True,synthetic_evaluation_scenario_generator
SCN0013,6,35,0.5,PET,True,synthetic_evaluation_scenario_generator
SCN0014,6,35,0.5,PUR,True,synthetic_evaluation_scenario_generator
SCN0015,6,35,0.5,PA,True,synthetic_evaluation_scenario_generator
SCN0016,6,35,1.0,PET,True,synthetic_evaluation_scenario_generator
SCN0017,6,35,1.0,PUR,True,synthetic_evaluation_scenario_generator
SCN0018,6,35,1.0,PA,True,synthetic_evaluation_scenario_generator
SCN0019,6,45,0.0,PET,True,synthetic_evaluation_scenario_generator
SCN0020,6,45,0.0,PUR,True,synthetic_evaluation_scenario_generator
SCN0021,6,45,0.0,PA,True,synthetic_evaluation_scenario_generator
SCN0022,6,45,0.5,PET,True,synthetic_evaluation_scenario_generator
SCN0023,6,45,0.5,PUR,True,synthetic_evaluation_scenario_generator
SCN0024,6,45,0.5,PA,True,synthetic_evaluation_scenario_generator
SCN0025,6,45,1.0,PET,True,synthetic_evaluation_scenario_generator
SCN0026,6,45,1.0,PUR,True,synthetic_evaluation_scenario_generator
SCN0027,6,45,1.0,PA,True,synthetic_evaluation_scenario_generator
SCN0028,6,55,0.0,PET,True,synthetic_evaluation_scenario_generator
SCN0029,6,55,0.0,PUR,True,synthetic_evaluation_scenario_generator
SCN0030,6,55,0.0,PA,True,synthetic_evaluation_scenario_generator
SCN0031,6,55,0.5,PET,True,synthetic_evaluation_scenario_generator
SCN0032,6,55,0.5,PUR,True,synthetic_evaluation_scenario_generator
SCN0033,6,55,0.5,PA,True,synthetic_evaluation_scenario_generator
SCN0034,6,55,1.0,PET,True,synthetic_evaluation_scenario_generator
SCN0035,6,55,1.0,PUR,True,synthetic_evaluation_scenario_generator
SCN0036,6,55,1.0,PA,True,synthetic_evaluation_scenario_generator
SCN0037,6,65,0.0,PET,True,synthetic_evaluation_scenario_generator
SCN0038,6,65,0.0,PUR,True,synthetic_evaluation_scenario_generator
SCN0039,6,65,0.0,PA,True,synthetic_evaluation_scenario_generator
SCN0040,6,65,0.5,PET,True,synthetic_evaluation_scenario_generator
SCN0041,6,65,0.5,PUR,True,synthetic_evaluation_scenario_generator
SCN0042,6,65,0.5,PA,True,synthetic_evaluation_scenario_generator
SCN0043,6,65,1.0,PET,True,synthetic_evaluation_scenario_generator
SCN0044,6,65,1.0,PUR,True,synthetic_evaluation_scenario_generator
SCN0045,6,65,1.0,PA,True,synthetic_evaluation_scenario_generator
SCN0046,7,25,0.0,PET,True,synthetic_evaluation_scenario_generator
SCN0047,7,25,0.0,PUR,True,synthetic_evaluation_scenario_generator
SCN0048,7,25,0.0,PA,True,synthetic_evaluation_scenario_generator
SCN0049,7,25,0.5,PET,True,synthetic_evaluation_scenario_generator
SCN0050,7,25,0.5,PUR,True,synthetic_evaluation_scenario_generator
SCN0051,7,25,0.5,PA,True,synthetic_evaluation_scenario_generator
SCN0052,7,25,1.0,PET,True,synthetic_evaluation_scenario_generator
SCN0053,7,25,1.0,PUR,True,synthetic_evaluation_scenario_generator
SCN0054,7,25,1.0,PA,True,synthetic_evaluation_scenario_generator
SCN0055,7,35,0.0,PET,True,synthetic_evaluation_scenario_generator
SCN0056,7,35,0.0,PUR,True,synthetic_evaluation_scenario_generator
SCN0057,7,35,0.0,PA,True,synthetic_evaluation_scenario_generator
SCN0058,7,35,0.5,PET,True,synthetic_evaluation_scenario_generator
SCN0059,7,35,0.5,PUR,True,synthetic_evaluation_scenario_generator
SCN0060,7,35,0.5,PA,True,synthetic_evaluation_scenario_generator
SCN0061,7,35,1.0,PET,True,synthetic_evaluation_scenario_generator
SCN0062,7,35,1.0,PUR,True,synthetic_evaluation_scenario_generator
SCN0063,7,35,1.0,PA,True,synthetic_evaluation_scenario_generator
SCN0064,7,45,0.0,PET,True,synthetic_evaluation_scenario_generator
SCN0065,7,45,0.0,PUR,True,synthetic_evaluation_scenario_generator
SCN0066,7,45,0.0,PA,True,synthetic_evaluation_scenario_generator
SCN0067,7,45,0.5,PET,True,synthetic_evaluation_scenario_generator
SCN0068,7,45,0.5,PUR,True,synthetic_evaluation_scenario_generator
