source_file,record_id,reason,action,n_records_in_file
demo\SOURCES.md,(file-level),"documentation/text, not enzyme data.",skipped,
demo\demo_scenarios.json,(file-level),"JSON scenario/state file, not enzyme metadata.",skipped,
fireprotdb_20251015-164116.csv,(file-level),--fireprotdb skip: file not scanned.,skipped,
interim\pazy_proteins_clean.fasta,(file-level),duplicate of data/raw/pazy/pazy_proteins.fasta (same 2 sequences); raw copy used instead.,skipped,
interim\sequence_qc.csv,(file-level),"derived pipeline output, not a raw enzyme source.",skipped,
mutation\README.md,(file-level),"documentation/text, not enzyme data.",skipped,
new_release_structure_sequence.tsv,(file-level),Generic PDB release export (535 sequences incl. GAPDH and antibody chains). No pollutant/activity annotation and no sequence overlap with the enzyme set.,excluded,
processed\data_conflicts.csv,(file-level),"derived pipeline output, not a raw enzyme source.",skipped,
processed\data_quality_report.csv,(file-level),"derived pipeline output, not a raw enzyme source.",skipped,
processed\dataset_summary.json,(file-level),"JSON scenario/state file, not enzyme metadata.",skipped,
processed\environmental_scenarios.csv,(file-level),"derived pipeline output, not a raw enzyme source.",skipped,
processed\enzymes.csv,(file-level),"derived pipeline output, not a raw enzyme source.",skipped,
processed\master_enzymes.csv,(file-level),"derived pipeline output, not a raw enzyme source.",skipped,
processed\master_enzymes_deduplicated.csv,(file-level),"derived pipeline output, not a raw enzyme source.",skipped,
processed\model_ready_dataset.csv,(file-level),"derived pipeline output, not a raw enzyme source.",skipped,
processed\unmatched_records.csv,(file-level),"derived pipeline output, not a raw enzyme source.",skipped,
raw\README.md,(file-level),"documentation/text, not enzyme data.",skipped,
raw\pdb\.gitkeep,(file-level),not a recognised enzyme source.,skipped,
raw\uniprot\.gitkeep,(file-level),not a recognised enzyme source.,skipped,
uniprotkb_Enzyme_sequence_dmatase_2026_08_02.fasta.gz,(file-level),"tRNA dimethylallyltransferases are NOT plastic-degrading enzymes (project scope); kept for provenance only, never loaded.",excluded,0.0
