report,level,value
n_raw_rows,table,75.0
n_valid_sequences,table,70.0
n_missing_sequences,table,5.0
enzyme_id,column,0.0
accession,column,90.7
enzyme_name,column,0.0
protein_sequence,column,6.7
sequence_length,column,6.7
ec_number,column,90.7
organism,column,86.7
pollutant_type,column,1.3
substrate,column,100.0
ph_opt,column,88.0
ph_min,column,100.0
ph_max,column,100.0
temperature_opt_c,column,88.0
temperature_min_c,column,100.0
temperature_max_c,column,100.0
salinity_opt,column,100.0
salinity_min,column,100.0
salinity_max,column,100.0
evidence_type,column,0.0
evidence_score,column,0.0
metadata_completeness,column,0.0
evidence_confidence,column,0.0
unknown_feature_count,column,0.0
protein_sequence,column,6.7
