enzyme_id,sequence_hash,embedding_file,embedding_dim,model,model_source,pooling
ENZ001,12c59fe9dab495ee536f1c2a5fc28c66e212192096c2351044d4dc139042f5af,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ002,f215fc047b4ec5926e15faefd54333a71ec3937e217a71557ab01af31f111933,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ003,4459cb1cff927d45ca1b9c354914af28ae78f15d75424d440c8dc9b2a4c729d2,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ006,9dd85ea39fc294af3da11cba77e47828f5f2681ae92ea5c5ffbd97b8a1e02d55,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY1_17,c44fd94f3c9b4a45e0f5ef0e9d334f86c03ab46bb4df1fae7674345d4a7a6a10,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY1_28,16b895cb26318a9b250abb738110b1a142a6e53bd1d3b6203023f8da52b94f76,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY1_37,1800fe34cae50a0366f6a8061e5dc6104ffdddfc3a4bbba82443e8e74610945c,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY1_42,e5014ab42856b5807ef5170d01a0d5da314a320b39e61e3058fba58c10a1bc42,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY1_497,754399a24aec0dbe3aeea6272a389c7f2c40f898f5ee008788e0192e241d2e98,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY1_498,281668f89c34a57d62470e424f9dd14cff82c16e48d4e2a41182e14f65ffc599,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY1_499,92020bb16c3dc5928e9b89a343f00227f5dd4b553241738071373746da78b731,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_217,1298c7f140aaef57207b1167b0df8dde498b656c185852cd405141e76154d121,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_218,4533cd849fb3ea9c8c41a41798f4e25c002e86c286dc829c3eeb6b619138853f,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_219,cde5935277e1c18dc8309d964f9e43aa6001e8532ccdf05ccf934011d307bc48,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_220,4fe21baf7eedaf891e5924e8b6d7d1dacdcfcdfbd5c3feb25dd3e2b1e83b4c27,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_221,04629285aecaf1ad1b0315bdab91f2d063e55b8c8491489cd7e0e1014e0901d5,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_222,b5d13f53741549579c1d3470a22e4ce7a149315cff6ba32f74ebd4114bb1d740,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_245,65fc94d47f9364783d4c0be35e3ce46f561a1db6e66318b138574dd69517d254,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_246,74265441e0d1147117fcd13d06923e34486e28ab6588b9f46d65c89cf98ab274,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_247,061f205203fbe11e4b2596893ee82fabf3f04959abbcb62ee45d1f03455f485e,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_248,0cccb42aa4ade82f68fd916a37c60122ab8542ca83154892d3a18087f4400258,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_249,ed9d02ef0ca1d1e0ac0ff662fe3f8f385952bb7dbc781f510b49084a93340727,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_343,abbdb81141bff2c651779e3da26125dcc358ff2c2c0cd980190966384016e646,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_344,5f549a92bbb081b740a9005abd09b966eaba5884bf4c4d7c04d8242a3686f7ed,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_345,e9df45ca2de08d2c364e05430edf3ae29efb21373f2feea158e59f228d33d506,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_346,f89cb100bb9f9530907fece564012b8787fa61ac1cd501261f41ce478fbede81,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_347,48290d570fedbc25a4fd08051d47f36b40c836b299745fd63c3af8ba6c1ba838,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_348,675ce056b4c75e2a7562887e8e7788d1758a3b4a401656be8a7865999f3457e9,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_349,ff7c2817bf802d95e3d9932d23fde5a3b2a8f4d22d6e5718538431fcc85f2fb8,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
